id_imovel,localidade,tipo,area_m2,quartos,banheiros,vagas_garagem,idade_anos,preco_venda
IMV-10028,Planaltina,Casa,237.0,,6.0,2.0,19.0,524113.0
IMV-10029,Cavalcante,Casa,140.0,5.0,5.0,2.0,40.0,205299.0
IMV-10030,Vila Boa,Casa,467.0,5.0,6.0,2.0,21.0,607575.0
IMV-10031,Cristalina,Casa,588.0,5.0,6.0,3.0,31.0,1331975.0
IMV-10032,Goianésia,Casa,438.0,5.0,5.0,2.0,39.0,829919.0
IMV-10033,Alexânia,Casa,257.0,4.0,6.0,2.0,10.0,593023.0
IMV-10034,Santa Maria,Apartamento,69.0,1.0,1.0,1.0,,191547.0
IMV-10035,Santa Maria,Apartamento,110.0,2.0,1.0,2.0,16.0,343721.0
IMV-10036,Água Quente,Casa,124.0,5.0,5.0,3.0,36.0,158588.0
IMV-10037,Vila Boa,Casa,352.0,4.0,6.0,3.0,40.0,329448.0
IMV-10038,Cidade Ocidental,,436.0,4.0,5.0,,18.0,1088432.0
IMV-10039,Sobradinho,Casa,349.0,4.0,6.0,4.0,28.0,988680.0
IMV-10040,Planaltina,Casa,147.0,,5.0,4.0,2.0,427103.0
IMV-10041,Água Fria de Goiás,Casa,206.0,5.0,7.0,4.0,13.0,281379.0
IMV-10042,Varjão,Casa,376.0,,5.0,2.0,19.0,999107.0
IMV-10043,Asa Sul,Apartamento,115.0,1.0,1.0,1.0,9.0,1240713.0
IMV-10044,Niquelândia,Casa,311.0,5.0,5.0,2.0,32.0,409949.0
IMV-10045,Simolândia,Casa,,4.0,6.0,4.0,21.0,689081.0
IMV-10046,Asa Norte,Apartamento,89.0,1.0,1.0,1.0,8.0,768639.0
IMV-10047,Arapoangas,Casa,559.0,5.0,6.0,3.0,14.0,1196912.0
IMV-10048,Valparaíso de Goiás,Apartamento,78.0,3.0,2.0,1.0,20.0,196872.0
IMV-10049,Novo Gama,Casa,223.0,4.0,5.0,2.0,36.0,423368.0
IMV-10050,Park Way,Casa,530.0,3.0,4.0,,7.0,4679437.0
IMV-10051,Riacho Fundo II,Casa,,5.0,6.0,2.0,29.0,1527745.0
IMV-10052,Lago Norte,Casa,257.0,3.0,4.0,2.0,15.0,2614520.0
IMV-10053,Flores de Goiás,Casa,181.0,3.0,4.0,4.0,7.0,294867.0
IMV-10054,Fercal,Casa,516.0,4.0,4.0,4.0,24.0,774632.0
IMV-10055,SCIA / Estrutural,Casa,266.0,3.0,3.0,,6.0,574940.0
IMV-10056,Cruzeiro,Apartamento,89.0,4.0,2.0,1.0,7.0,699903.0
IMV-10057,Asa Sul,Apartamento,99.0,4.0,3.0,2.0,24.0,778116.0
IMV-10058,Sobradinho,Casa,217.0,4.0,6.0,3.0,25.0,696002.0
IMV-10059,Planaltina (GO),Casa,497.0,4.0,5.0,4.0,0.0,1144755.0
IMV-10060,Cavalcante,Casa,210.0,3.0,5.0,2.0,19.0,363323.0
IMV-10061,Cabeceira Grande,Casa,364.0,5.0,5.0,4.0,40.0,448427.0
IMV-10062,Brazlândia,Casa,121.0,3.0,3.0,3.0,26.0,250123.0
IMV-10063,Guará,Casa,332.0,3.0,5.0,3.0,35.0,1743787.0
IMV-10064,Alvorada do Norte,Casa,198.0,4.0,4.0,,10.0,273256.0
IMV-10065,Vila Propício,Casa,204.0,4.0,5.0,2.0,,240313.0
IMV-10066,Paranoá,Apartamento,165.0,4.0,,1.0,7.0,527485.0
IMV-10067,Fercal,Casa,502.0,3.0,3.0,4.0,13.0,
IMV-10068,Asa Sul,Apartamento,145.0,3.0,1.0,2.0,3.0,1483720.0
IMV-10069,Fercal,Casa,423.0,5.0,5.0,3.0,5.0,950703.0
IMV-10070,Planaltina,Casa,353.0,3.0,4.0,3.0,9.0,892313.0
IMV-10071,Simolândia,Casa,231.0,,4.0,,33.0,276365.0
IMV-10072,Sobradinho II,Casa,573.0,5.0,6.0,4.0,36.0,1554135.0
IMV-10073,Padre Bernardo,Casa,326.0,3.0,5.0,,37.0,451958.0
IMV-10074,Santo Antônio do Descoberto,,567.0,5.0,6.0,3.0,36.0,1023948.0
IMV-10075,Abadiânia,Casa,532.0,3.0,4.0,4.0,22.0,1025283.0
IMV-10076,Vila Propício,Casa,524.0,5.0,6.0,3.0,23.0,582398.0
IMV-10077,Ponte Alta,Casa,420.0,3.0,5.0,2.0,3.0,1267362.0
IMV-10078,Park Way,Casa,589.0,4.0,4.0,2.0,16.0,4204494.0
IMV-10079,Taguatinga,Casa,360.0,5.0,7.0,4.0,5.0,1974301.0
IMV-10080,Cavalcante,Casa,270.0,4.0,6.0,4.0,38.0,451196.0
IMV-10081,,Casa,265.0,3.0,,2.0,25.0,665808.0
IMV-10082,SIA,,81.0,2.0,2.0,2.0,17.0,366382.0
IMV-10083,Simolândia,Casa,371.0,3.0,3.0,3.0,24.0,513601.0
IMV-10084,Pirenópolis,Casa,,3.0,3.0,3.0,16.0,759182.0
IMV-10085,Núcleo Bandeirante,Apartamento,155.0,3.0,3.0,,38.0,516553.0
IMV-10086,Varjão,Apartamento,58.0,3.0,3.0,0.0,39.0,158656.0
IMV-10087,Águas Lindas de Goiás,Casa,133.0,3.0,5.0,4.0,24.0,281751.0
IMV-10088,Ceilândia,Apartamento,113.0,1.0,1.0,1.0,27.0,275851.0
IMV-10089,Abadiânia,Casa,459.0,4.0,5.0,3.0,34.0,704612.0
IMV-10090,Pirenópolis,Casa,179.0,3.0,3.0,3.0,40.0,531914.0
IMV-10091,Riacho Fundo,Casa,589.0,3.0,5.0,3.0,33.0,1801200.0
IMV-10092,Paranoá,,576.0,4.0,4.0,2.0,3.0,1962164.0
IMV-10093,Goianésia,,474.0,5.0,7.0,2.0,32.0,983935.0
IMV-10094,Barro Alto,Casa,147.0,5.0,6.0,3.0,29.0,185887.0
IMV-10095,Vicente Pires,Casa,223.0,3.0,4.0,3.0,31.0,630927.0
IMV-10096,Arniqueira,Casa,254.0,3.0,3.0,3.0,25.0,1033185.0
IMV-10097,Samambaia,Apartamento,,4.0,,0.0,38.0,152448.0
IMV-10098,Varjão,Casa,194.0,5.0,5.0,2.0,10.0,545326.0
IMV-10099,Guará,Apartamento,146.0,1.0,1.0,,28.0,715466.0
IMV-10100,Brazlândia,Casa,504.0,3.0,5.0,3.0,9.0,1525348.0
IMV-10101,Paranoá,Casa,320.0,5.0,6.0,3.0,8.0,930738.0
IMV-10102,Planaltina,Casa,546.0,4.0,6.0,4.0,4.0,1760359.0
IMV-10103,Niquelândia,Casa,486.0,4.0,4.0,,5.0,
IMV-10104,Alvorada do Norte,Casa,585.0,,4.0,4.0,21.0,806690.0
IMV-10105,Vila Propício,Casa,600.0,3.0,3.0,2.0,3.0,911449.0
IMV-10106,Gama,Casa,202.0,5.0,6.0,2.0,35.0,572571.0
IMV-10107,,Casa,273.0,3.0,5.0,2.0,25.0,563837.0
IMV-10108,Santa Maria,Casa,203.0,5.0,7.0,3.0,2.0,651872.0
IMV-10109,Samambaia,Apartamento,85.0,3.0,3.0,2.0,16.0,320142.0
IMV-10110,Cabeceira Grande,Casa,232.0,5.0,6.0,3.0,18.0,355322.0
IMV-10111,Planaltina,Casa,429.0,3.0,4.0,2.0,8.0,1164013.0
IMV-10112,Novo Gama,Casa,436.0,5.0,,4.0,20.0,759597.0
IMV-10113,Riacho Fundo II,Casa,314.0,3.0,4.0,,1.0,1098197.0
IMV-10114,Valparaíso de Goiás,Apartamento,52.0,2.0,2.0,1.0,37.0,108083.0
IMV-10115,Varjão,Casa,216.0,4.0,5.0,2.0,10.0,587954.0
IMV-10116,Cabeceiras,Casa,305.0,4.0,4.0,4.0,3.0,537499.0
IMV-10117,Cabeceira Grande,Casa,451.0,3.0,4.0,,31.0,530348.0
IMV-10118,Lago Norte,Casa,484.0,4.0,6.0,4.0,28.0,4130642.0
IMV-10119,,Casa,229.0,4.0,6.0,4.0,38.0,805784.0
IMV-10120,Varjão,Casa,347.0,3.0,3.0,3.0,14.0,905331.0
IMV-10121,Asa Sul,,43.0,3.0,3.0,1.0,34.0,
IMV-10122,Recanto das Emas,Apartamento,,4.0,2.0,2.0,39.0,201024.0
IMV-10123,Abadiânia,Casa,261.0,5.0,5.0,4.0,29.0,477601.0
IMV-10124,Noroeste,Apartamento,61.0,4.0,2.0,0.0,2.0,906511.0
IMV-10125,Ponte Alta,Casa,480.0,5.0,5.0,4.0,40.0,967240.0
IMV-10126,Lago Norte,Casa,198.0,4.0,,4.0,29.0,1299298.0
IMV-10127,Planaltina (GO),Casa,151.0,,6.0,3.0,21.0,323618.0
IMV-10128,,Casa,477.0,3.0,3.0,3.0,40.0,1003612.0
IMV-10129,Cristalina,Casa,389.0,4.0,,3.0,5.0,1192610.0
IMV-10130,Núcleo Bandeirante,Apartamento,162.0,2.0,,1.0,33.0,545357.0
IMV-10131,Planaltina,Casa,537.0,5.0,6.0,3.0,2.0,1568321.0
IMV-10132,Vicente Pires,,148.0,5.0,5.0,,15.0,528386.0
IMV-10133,Riacho Fundo,Casa,126.0,3.0,5.0,3.0,6.0,508165.0
IMV-10134,Samambaia,Apartamento,70.0,2.0,1.0,1.0,31.0,200113.0
IMV-10135,Sol Nascente / Pôr do Sol,Casa,565.0,5.0,5.0,3.0,21.0,1070298.0
IMV-10136,Alexânia,Casa,560.0,4.0,5.0,4.0,32.0,1124017.0
IMV-10137,Novo Gama,Casa,522.0,4.0,,3.0,18.0,944005.0
IMV-10138,Sobradinho,Casa,193.0,5.0,7.0,4.0,39.0,541357.0
IMV-10139,Abadiânia,Casa,372.0,5.0,5.0,,,635024.0
IMV-10140,Cabeceira Grande,Casa,364.0,3.0,4.0,4.0,4.0,601070.0
IMV-10141,Vila Propício,Casa,200.0,5.0,7.0,4.0,15.0,
IMV-10142,Sudoeste / Octogonal,Apartamento,88.0,1.0,,2.0,25.0,894922.0
IMV-10143,Lago Norte,Casa,156.0,3.0,5.0,3.0,31.0,1068805.0
IMV-10144,Niquelândia,,283.0,3.0,5.0,2.0,37.0,322831.0
IMV-10145,,Casa,259.0,4.0,5.0,3.0,28.0,490149.0
IMV-10146,Águas Lindas de Goiás,Apartamento,167.0,3.0,2.0,1.0,,325607.0
IMV-10147,Brazlândia,Casa,526.0,4.0,6.0,4.0,9.0,1416978.0
IMV-10148,Barro Alto,Casa,195.0,5.0,5.0,4.0,9.0,383491.0
IMV-10149,Cavalcante,Casa,378.0,4.0,5.0,3.0,19.0,705270.0
IMV-10150,Flores de Goiás,Casa,,4.0,4.0,4.0,24.0,170664.0
IMV-10151,Noroeste,Apartamento,152.0,2.0,1.0,2.0,23.0,1608450.0
IMV-10152,Riacho Fundo II,Apartamento,160.0,3.0,2.0,2.0,5.0,474087.0
IMV-10153,Sudoeste / Octogonal,,117.0,4.0,2.0,1.0,17.0,1301166.0
IMV-10154,Ceilândia,Casa,164.0,3.0,5.0,2.0,9.0,494509.0
IMV-10155,Barro Alto,Casa,509.0,5.0,7.0,2.0,10.0,
IMV-10156,Varjão,Casa,299.0,3.0,,4.0,14.0,936155.0
IMV-10157,Vila Propício,Casa,508.0,4.0,5.0,3.0,2.0,893716.0
IMV-10158,Goianésia,Casa,242.0,4.0,6.0,4.0,24.0,437662.0
IMV-10159,Santa Maria,Apartamento,103.0,1.0,1.0,2.0,8.0,378666.0
IMV-10160,Guará,Apartamento,152.0,1.0,1.0,2.0,,1181768.0
IMV-10161,Abadiânia,Casa,476.0,4.0,4.0,2.0,13.0,876841.0
IMV-10162,Alvorada do Norte,Casa,,5.0,6.0,2.0,21.0,611101.0
IMV-10163,Cristalina,Casa,220.0,3.0,3.0,4.0,10.0,660127.0
IMV-10164,Guará,Apartamento,134.0,1.0,1.0,1.0,14.0,891417.0
IMV-10165,Ponte Alta,Casa,537.0,4.0,4.0,2.0,29.0,1047515.0
IMV-10166,Núcleo Bandeirante,Casa,,5.0,7.0,3.0,34.0,631730.0
IMV-10167,Recanto das Emas,Apartamento,92.0,4.0,4.0,2.0,33.0,224096.0
IMV-10168,São Sebastião,Casa,184.0,3.0,5.0,2.0,27.0,433221.0
IMV-10169,Sol Nascente / Pôr do Sol,,116.0,2.0,1.0,2.0,29.0,171640.0
IMV-10170,Formosa,Casa,552.0,3.0,5.0,4.0,25.0,1468997.0
IMV-10171,Água Fria de Goiás,Casa,383.0,5.0,6.0,4.0,6.0,662717.0
IMV-10172,Itapoã,Casa,229.0,3.0,4.0,3.0,30.0,558084.0
IMV-10173,Cocalzinho de Goiás,Casa,568.0,4.0,6.0,4.0,26.0,1155642.0
IMV-10174,Candangolândia,Apartamento,129.0,3.0,,2.0,9.0,482595.0
IMV-10175,Santo Antônio do Descoberto,Casa,571.0,5.0,5.0,2.0,35.0,804367.0
IMV-10176,Samambaia,Apartamento,174.0,2.0,2.0,2.0,39.0,529194.0
IMV-10177,Itapoã,,534.0,5.0,6.0,4.0,34.0,1210181.0
IMV-10178,Água Fria de Goiás,Casa,553.0,3.0,5.0,3.0,12.0,
IMV-10179,Ponte Alta,Casa,129.0,4.0,5.0,4.0,11.0,360434.0
IMV-10180,Vicente Pires,Casa,188.0,4.0,6.0,3.0,13.0,779116.0
IMV-10181,Lago Norte,,330.0,5.0,6.0,2.0,35.0,2215640.0
IMV-10182,Sobradinho II,Casa,428.0,5.0,7.0,4.0,0.0,1780863.0
IMV-10183,Vila Propício,Casa,294.0,5.0,7.0,2.0,36.0,304368.0
IMV-10184,Goianésia,,225.0,3.0,3.0,2.0,2.0,530874.0
IMV-10185,São João d’Aliança,Casa,259.0,3.0,4.0,3.0,7.0,573539.0
IMV-10186,Alto Paraíso de Goiás,Casa,510.0,5.0,5.0,2.0,27.0,1508977.0
IMV-10187,Vicente Pires,Casa,,5.0,7.0,4.0,18.0,2082475.0
IMV-10188,Águas Lindas de Goiás,Casa,487.0,3.0,3.0,2.0,0.0,1453818.0
IMV-10189,Paranoá,Casa,449.0,4.0,6.0,3.0,36.0,967851.0
IMV-10190,Formosa,Casa,598.0,5.0,6.0,2.0,,1433015.0
IMV-10191,Vila Propício,Casa,121.0,5.0,,,12.0,158320.0
IMV-10192,Abadiânia,Casa,186.0,,3.0,2.0,30.0,272237.0
IMV-10193,Jardim Botânico,Casa,295.0,5.0,7.0,2.0,6.0,1872766.0
IMV-10194,Guará,Apartamento,46.0,3.0,,0.0,4.0,303969.0
IMV-10195,,Casa,,3.0,4.0,4.0,13.0,457009.0
IMV-10196,Lago Norte,Casa,315.0,4.0,5.0,4.0,22.0,2330977.0
IMV-10197,Alvorada do Norte,Casa,279.0,3.0,5.0,2.0,14.0,459421.0
IMV-10198,Valparaíso de Goiás,Apartamento,67.0,3.0,1.0,,16.0,173835.0
IMV-10199,Fercal,Casa,509.0,4.0,6.0,3.0,11.0,902355.0
IMV-10200,Candangolândia,Casa,480.0,5.0,6.0,2.0,36.0,1453665.0
IMV-10201,Ceilândia,Casa,288.0,4.0,5.0,2.0,4.0,
IMV-10202,Park Way,Casa,436.0,5.0,7.0,2.0,4.0,3799859.0
IMV-10203,Santa Maria,Apartamento,128.0,1.0,1.0,2.0,17.0,384734.0
IMV-10204,Sudoeste / Octogonal,Apartamento,124.0,,1.0,2.0,2.0,
IMV-10205,Mimoso de Goiás,Casa,257.0,,6.0,2.0,36.0,
IMV-10206,Arapoangas,Casa,332.0,4.0,5.0,3.0,18.0,713980.0
IMV-10207,Águas Claras,Apartamento,140.0,1.0,1.0,1.0,9.0,1044944.0
IMV-10208,Cavalcante,Casa,178.0,5.0,6.0,4.0,20.0,279160.0
IMV-10209,,,567.0,4.0,4.0,4.0,17.0,1147410.0
IMV-10210,Padre Bernardo,Casa,292.0,3.0,5.0,3.0,,565897.0
IMV-10211,Paranoá,Apartamento,50.0,1.0,1.0,0.0,35.0,129255.0
IMV-10212,Ceilândia,Casa,295.0,4.0,5.0,3.0,35.0,710462.0
IMV-10213,Santa Maria,Apartamento,47.0,1.0,1.0,1.0,36.0,126054.0
IMV-10214,Noroeste,Apartamento,77.0,1.0,1.0,1.0,24.0,715129.0
IMV-10215,Cabeceiras,Casa,334.0,4.0,5.0,2.0,20.0,435584.0
IMV-10216,SCIA / Estrutural,Apartamento,154.0,3.0,3.0,2.0,12.0,334695.0
IMV-10217,Asa Norte,Apartamento,132.0,2.0,2.0,1.0,23.0,972011.0
IMV-10218,Planaltina (GO),Casa,164.0,4.0,5.0,2.0,21.0,338046.0
IMV-10219,SCIA / Estrutural,Casa,282.0,4.0,4.0,2.0,30.0,538249.0
IMV-10220,Noroeste,Apartamento,122.0,1.0,1.0,1.0,25.0,1167736.0
IMV-10221,,Apartamento,57.0,3.0,1.0,1.0,40.0,387828.0
IMV-10222,SCIA / Estrutural,Casa,299.0,5.0,6.0,3.0,14.0,585895.0
IMV-10223,Varjão,Casa,571.0,4.0,5.0,2.0,18.0,1679195.0
IMV-10224,Itapoã,Apartamento,58.0,4.0,2.0,0.0,33.0,116596.0
IMV-10225,Pirenópolis,Casa,408.0,3.0,3.0,3.0,37.0,1337414.0
IMV-10226,Cabeceiras,Casa,305.0,4.0,4.0,4.0,2.0,483519.0
IMV-10227,Arniqueira,Casa,473.0,5.0,6.0,2.0,35.0,1497212.0
IMV-10228,Núcleo Bandeirante,Casa,251.0,5.0,7.0,4.0,,1205536.0
IMV-10229,Água Fria de Goiás,Casa,363.0,3.0,4.0,4.0,4.0,650832.0
IMV-10230,Riacho Fundo,Casa,208.0,5.0,,,34.0,
IMV-10231,Núcleo Bandeirante,Casa,414.0,5.0,5.0,4.0,,1576177.0
IMV-10232,Cabeceira Grande,,546.0,5.0,6.0,4.0,15.0,683374.0
IMV-10233,Gama,Casa,395.0,3.0,3.0,2.0,32.0,989183.0
IMV-10234,,,89.0,4.0,1.0,2.0,27.0,708355.0
IMV-10235,Cabeceira Grande,Casa,,3.0,3.0,3.0,29.0,527124.0
IMV-10236,Lago Sul,Casa,424.0,3.0,3.0,2.0,,3549564.0
IMV-10237,Simolândia,Casa,316.0,3.0,3.0,2.0,23.0,346524.0
IMV-10238,Recanto das Emas,Apartamento,136.0,2.0,2.0,2.0,15.0,404399.0
IMV-10239,São João d’Aliança,Casa,226.0,3.0,4.0,4.0,26.0,349249.0
IMV-10240,Cocalzinho de Goiás,Casa,332.0,4.0,6.0,4.0,7.0,774553.0
IMV-10241,Água Quente,Casa,447.0,5.0,6.0,2.0,35.0,641832.0
IMV-10242,Alvorada do Norte,Casa,341.0,5.0,5.0,,17.0,522590.0
IMV-10243,Luziânia,Casa,,3.0,3.0,4.0,2.0,1757216.0
IMV-10244,Gama,Apartamento,180.0,,1.0,1.0,1.0,740473.0
IMV-10245,Formosa,Casa,173.0,3.0,3.0,4.0,17.0,
IMV-10246,Varjão,Apartamento,138.0,3.0,2.0,2.0,,353222.0
IMV-10247,Itapoã,Apartamento,99.0,2.0,2.0,1.0,22.0,239268.0
IMV-10248,Água Fria de Goiás,Casa,466.0,4.0,5.0,4.0,1.0,952439.0
IMV-10249,Vila Boa,Casa,480.0,3.0,5.0,4.0,15.0,568843.0
IMV-10250,Abadiânia,Casa,151.0,4.0,4.0,4.0,21.0,292582.0
IMV-10251,Cristalina,Casa,218.0,5.0,,4.0,39.0,532052.0
IMV-10252,São Sebastião,Casa,493.0,4.0,5.0,3.0,23.0,1243578.0
IMV-10253,Mimoso de Goiás,Casa,562.0,3.0,4.0,4.0,22.0,602820.0
IMV-10254,Padre Bernardo,Casa,183.0,5.0,6.0,2.0,21.0,347238.0
IMV-10255,Park Way,Casa,258.0,3.0,,3.0,3.0,2263504.0
IMV-10256,Cabeceira Grande,Casa,444.0,,5.0,3.0,,493235.0
IMV-10257,Lago Norte,Casa,279.0,5.0,7.0,3.0,5.0,2901325.0
IMV-10258,Ceilândia,Casa,335.0,5.0,6.0,,5.0,1164114.0
IMV-10259,Águas Lindas de Goiás,Casa,448.0,,4.0,4.0,7.0,978858.0
IMV-10260,Luziânia,Casa,547.0,5.0,5.0,2.0,35.0,1155713.0
IMV-10261,Cocalzinho de Goiás,Casa,430.0,3.0,5.0,4.0,9.0,1007787.0
IMV-10262,Niquelândia,Casa,427.0,5.0,5.0,2.0,0.0,873917.0
IMV-10263,Guará,,121.0,2.0,1.0,2.0,18.0,718180.0
IMV-10264,Itapoã,Apartamento,104.0,3.0,2.0,1.0,16.0,269429.0
IMV-10265,Cavalcante,Casa,546.0,5.0,7.0,2.0,21.0,1102327.0
IMV-10266,Alvorada do Norte,,584.0,,5.0,3.0,,742442.0
IMV-10267,Cavalcante,Casa,130.0,3.0,,3.0,7.0,246048.0
IMV-10268,Samambaia,Apartamento,57.0,1.0,1.0,1.0,,193034.0
IMV-10269,Sol Nascente / Pôr do Sol,Casa,210.0,3.0,3.0,3.0,12.0,399872.0
IMV-10270,Varjão,Casa,264.0,5.0,6.0,4.0,33.0,679018.0
IMV-10271,Formosa,Casa,307.0,3.0,4.0,3.0,17.0,979700.0
IMV-10272,Cidade Ocidental,Casa,351.0,5.0,6.0,3.0,22.0,857106.0
IMV-10273,Águas Claras,Apartamento,106.0,2.0,2.0,1.0,7.0,812063.0
IMV-10274,Arapoangas,Casa,449.0,4.0,4.0,3.0,8.0,977493.0
IMV-10275,Arapoangas,Casa,555.0,4.0,6.0,3.0,36.0,
IMV-10276,,Casa,584.0,4.0,5.0,2.0,30.0,954880.0
IMV-10277,Riacho Fundo,Apartamento,79.0,1.0,1.0,1.0,31.0,242368.0
IMV-10278,Novo Gama,Casa,549.0,4.0,5.0,4.0,35.0,1020814.0
IMV-10279,Arapoangas,Casa,214.0,,4.0,2.0,26.0,452089.0
IMV-10280,Alto Paraíso de Goiás,Casa,137.0,3.0,4.0,2.0,36.0,344311.0
IMV-10281,Santa Maria,,,3.0,1.0,0.0,19.0,146830.0
IMV-10282,Planaltina (GO),Casa,438.0,4.0,5.0,2.0,36.0,726972.0
IMV-10283,Santo Antônio do Descoberto,Casa,253.0,5.0,5.0,2.0,25.0,466094.0
IMV-10284,,Apartamento,80.0,4.0,3.0,,5.0,298274.0
IMV-10285,Pirenópolis,Casa,387.0,3.0,5.0,3.0,30.0,1207417.0
IMV-10286,Flores de Goiás,Casa,169.0,4.0,4.0,4.0,23.0,
IMV-10287,Formosa,Casa,431.0,5.0,7.0,4.0,5.0,1218350.0
IMV-10288,Santo Antônio do Descoberto,,330.0,,5.0,4.0,21.0,
IMV-10289,Paranoá,Apartamento,41.0,1.0,1.0,1.0,15.0,112902.0
IMV-10290,Planaltina (GO),Casa,397.0,4.0,6.0,3.0,29.0,720115.0
IMV-10291,Fercal,Casa,195.0,5.0,,3.0,33.0,284535.0
IMV-10292,Cristalina,Casa,590.0,5.0,6.0,2.0,16.0,1306470.0
IMV-10293,Cabeceiras,Casa,272.0,5.0,5.0,4.0,22.0,376105.0
IMV-10294,Riacho Fundo,Apartamento,97.0,3.0,3.0,2.0,8.0,376712.0
IMV-10295,Água Quente,Casa,476.0,4.0,5.0,3.0,17.0,723791.0
IMV-10296,Paranoá,Apartamento,105.0,4.0,2.0,1.0,12.0,278832.0
IMV-10297,Simolândia,Casa,506.0,4.0,4.0,4.0,7.0,799036.0
IMV-10298,Cabeceiras,Casa,492.0,4.0,6.0,4.0,15.0,798393.0
IMV-10299,Luziânia,Casa,233.0,4.0,4.0,2.0,15.0,472389.0
IMV-10300,Vila Boa,Casa,302.0,3.0,3.0,2.0,7.0,440092.0
IMV-10301,São Sebastião,Casa,233.0,5.0,5.0,2.0,31.0,548570.0
IMV-10302,Luziânia,,217.0,4.0,4.0,3.0,29.0,398264.0
IMV-10303,Sobradinho,Casa,254.0,,5.0,3.0,25.0,970886.0
IMV-10304,Brazlândia,Casa,348.0,,3.0,4.0,13.0,1024564.0
IMV-10305,Mimoso de Goiás,Casa,173.0,4.0,4.0,3.0,39.0,
IMV-10306,Park Way,Casa,437.0,4.0,6.0,3.0,15.0,3032988.0
IMV-10307,,Casa,135.0,4.0,5.0,4.0,6.0,338894.0
IMV-10308,Águas Lindas de Goiás,Apartamento,116.0,4.0,4.0,1.0,27.0,204597.0
IMV-10309,Flores de Goiás,Casa,439.0,5.0,5.0,2.0,1.0,592787.0
IMV-10310,Planaltina,Casa,203.0,5.0,5.0,4.0,3.0,662727.0
IMV-10311,Niquelândia,Casa,559.0,5.0,5.0,3.0,23.0,937441.0
IMV-10312,Guará,Casa,588.0,5.0,7.0,2.0,0.0,4500331.0
IMV-10313,Águas Lindas de Goiás,Casa,407.0,,3.0,2.0,1.0,972729.0
IMV-10314,Núcleo Bandeirante,Casa,,3.0,4.0,3.0,25.0,2276452.0
IMV-10315,Vila Boa,Casa,125.0,5.0,5.0,4.0,32.0,143589.0
IMV-10316,Vicente Pires,Casa,567.0,4.0,6.0,4.0,28.0,1961406.0
IMV-10317,Cocalzinho de Goiás,Casa,305.0,4.0,6.0,4.0,7.0,696474.0
IMV-10318,Riacho Fundo,,79.0,,4.0,2.0,2.0,352945.0
IMV-10319,Noroeste,Apartamento,49.0,2.0,1.0,1.0,18.0,599352.0
IMV-10320,Ceilândia,Apartamento,168.0,3.0,1.0,1.0,1.0,706785.0
IMV-10321,Cavalcante,Casa,411.0,5.0,5.0,2.0,3.0,959922.0
IMV-10322,Lago Sul,Casa,472.0,4.0,,4.0,12.0,5603850.0
